name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Honda City,Honda,City,Chennai,2017,Petrol,78939,1,Manual,Sedan,Hi-Chennai North,FALSE,Chennai,Tamil Nadu,13898,119900,723399,https://www.cars24.com/buy-used-honda-city-2017-cars-chennai-11362494746,08-09-2022
Tata NEXON,Tata,Nexon,Bangalore,2019,Petrol,28326,1,Manual,SUV,Bengaluru-Pns,FALSE,Bengaluru,Karnataka,13898,-6300,797000,https://www.cars24.com/buy-used-tata-nexon-2019-cars-bangalore-10216490769,01-11-2022
Renault TRIBER,Renault,Triber,New Delhi,2020,Petrol,13786,1,Automatic,SUV,New Delhi-Pns,FALSE,New Delhi,Delhi,12542,5400,745600,https://www.cars24.com/buy-used-renault-triber-2020-cars-new-delhi-10037171752,06-12-2022
Hyundai Elite i20,Hyundai,Elite I20,Ludhiana,2017,Diesel,45276,1,Manual,Hatchback,Chandigarh-Pns,FALSE,Chandigarh,Chandigarh,13898,63600,671000,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-ludhiana-11656890780,14-08-2022
Hyundai Elite i20,Hyundai,Elite I20,New Delhi,2019,Petrol,49439,1,Manual,Hatchback,New Delhi-Pns,FALSE,New Delhi,Delhi,9688,-28500,752000,https://www.cars24.com/buy-used-hyundai-elite-i20-2019-cars-new-delhi-10033875719,19-11-2022
Maruti Baleno,Maruti,Baleno,Mumbai,2018,Petrol,88396,1,Manual,Hatchback,Mumbai-Pns,FALSE,Mumbai,Maharashtra,13898,57500,547599,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-mumbai-10392692746,20-09-2022
Tata Tiago,Tata,Tiago,Gurgaon,2020,Petrol,22230,1,Manual,Hatchback,Hi-Gurgaon New,FALSE,Delhi,Delhi,9688,-23000,583000,https://www.cars24.com/buy-used-tata-tiago-2020-cars-gurgaon-10143976790,29-11-2022
Maruti Ciaz,Maruti,Ciaz,New Delhi,2019,Petrol,20539,1,Manual,Sedan,New Delhi-Pns,FALSE,New Delhi,Delhi,13898,34800,803399,https://www.cars24.com/buy-used-maruti-ciaz-2019-cars-new-delhi-10076697762,09-10-2022
Honda Amaze,Honda,Amaze,Noida,2019,Petrol,72470,1,Manual,Sedan,Hi-Multan Nagar,FALSE,Ghaziabad,Uttar Pradesh,13898,5000,601000,https://www.cars24.com/buy-used-honda-amaze-2019-cars-noida-11253197708,12-10-2022
Hyundai Elite i20,Hyundai,Elite I20,New Delhi,2014,Petrol,55023,2,Manual,Hatchback,Hi-South Delhi,FALSE,Delhi,Delhi,13898,13800,468000,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-new-delhi-10089692706,11-10-2022
Ford Ecosport,Ford,Ecosport,Indore,2018,Petrol,24680,1,Manual,SUV,Hi-Bhopal,FALSE,Bhopal,Madhya Pradesh,13898,-11300,726000,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-indore-14654379778,09-11-2022
Honda Brio,Honda,Brio,New Delhi,2015,Petrol,50590,1,Manual,Hatchback,Hi-Multan Nagar,FALSE,Gurgaon,Haryana,13898,-16600,382000,https://www.cars24.com/buy-used-honda-brio-2015-cars-new-delhi-10176993728,28-11-2022
